#group,false,false
#datatype,dateTime:RFC3339,double
#default,,
,time,value
,2026-07-29T11:35:37.410256183Z,200
,2026-07-29T11:35:37.244320062Z,200
,2026-07-29T11:35:36.409581589Z,200
,2026-07-29T11:35:36.237209192Z,200
,2026-07-29T11:35:35.405102119Z,200
,2026-07-29T11:35:35.242629188Z,200
,2026-07-29T11:35:34.410012447Z,200
,2026-07-29T11:35:34.238958245Z,200
,2026-07-29T11:35:33.476480342Z,200
,2026-07-29T11:35:33.278584023Z,200
,2026-07-29T11:35:32.431520042Z,200
,2026-07-29T11:35:32.237683389Z,200
,2026-07-29T11:35:31.46033566Z,200
,2026-07-29T11:35:31.239283733Z,200
,2026-07-29T11:35:30.475140541Z,200
,2026-07-29T11:35:30.238309329Z,200
,2026-07-29T11:35:29.48784202Z,200
,2026-07-29T11:35:29.249843659Z,200
,2026-07-29T11:35:28.461494161Z,200
,2026-07-29T11:35:28.237197534Z,200
,2026-07-29T11:35:27.469851425Z,200
,2026-07-29T11:35:27.236793006Z,200
,2026-07-29T11:35:26.487964608Z,200
,2026-07-29T11:35:26.236628135Z,200
,2026-07-29T11:35:25.424143101Z,200
,2026-07-29T11:35:25.25105389Z,200
,2026-07-29T11:35:24.454801999Z,200
,2026-07-29T11:35:24.236444484Z,200
,2026-07-29T11:35:23.450463105Z,200
,2026-07-29T11:35:23.233902108Z,200
,2026-07-29T11:35:22.434120941Z,200
,2026-07-29T11:35:22.233380986Z,200
,2026-07-29T11:35:21.403748326Z,200
,2026-07-29T11:35:21.240010984Z,200
,2026-07-29T11:35:20.410561804Z,200
,2026-07-29T11:35:20.234866555Z,200
,2026-07-29T11:35:19.427456853Z,200
,2026-07-29T11:35:19.235083173Z,200
,2026-07-29T11:35:18.400848523Z,200
,2026-07-29T11:35:18.234780411Z,200
,2026-07-29T11:35:17.436790764Z,200
,2026-07-29T11:35:17.236353676Z,200
,2026-07-29T11:35:16.438456524Z,200
,2026-07-29T11:35:16.234854848Z,200
,2026-07-29T11:35:15.395966072Z,200
,2026-07-29T11:35:15.23328952Z,200
,2026-07-29T11:35:14.431823641Z,200
,2026-07-29T11:35:14.234154453Z,200
,2026-07-29T11:35:13.438452706Z,200
,2026-07-29T11:35:13.234850303Z,200
,2026-07-29T11:35:12.406296059Z,200
,2026-07-29T11:35:12.241509533Z,200
,2026-07-29T11:35:11.398614642Z,200
,2026-07-29T11:35:11.233216811Z,200
,2026-07-29T11:35:10.403842301Z,200
,2026-07-29T11:35:10.2342617Z,200
,2026-07-29T11:35:09.412042309Z,200
,2026-07-29T11:35:09.233341048Z,200
,2026-07-29T11:35:08.395242292Z,9.868725
,2026-07-29T11:35:08.233160469Z,9.868725
,2026-07-29T11:35:07.403871092Z,9.868725
,2026-07-29T11:35:07.232546662Z,9.868725
,2026-07-29T11:35:06.40785634Z,12.443175
,2026-07-29T11:35:06.235716521Z,12.443175
,2026-07-29T11:35:05.407766698Z,200
,2026-07-29T11:35:05.231214038Z,200
,2026-07-29T11:35:04.430723832Z,200
,2026-07-29T11:35:04.242562298Z,200
,2026-07-29T11:35:03.440069932Z,101.00425499999999
,2026-07-29T11:35:03.231475332Z,101.00425499999999
,2026-07-29T11:35:02.481430025Z,99.5454
,2026-07-29T11:35:02.234522975Z,99.5454
,2026-07-29T11:35:01.469314479Z,6.52194
,2026-07-29T11:35:01.230427923Z,6.52194
,2026-07-29T11:35:00.428171764Z,6.52194
,2026-07-29T11:35:00.237412118Z,6.52194
,2026-07-29T11:34:59.411962526Z,6.607755
,2026-07-29T11:34:59.241612391Z,6.607755
,2026-07-29T11:34:58.449505057Z,6.52194
,2026-07-29T11:34:58.226733676Z,6.52194
,2026-07-29T11:34:57.422292649Z,88.73271
,2026-07-29T11:34:57.2297978Z,88.73271
,2026-07-29T11:34:56.621199276Z,18.106965
,2026-07-29T11:34:56.372771287Z,18.106965
